alpha,honest_mining,classical_selfish_mining,conservative_release,gamma
0.045,0.045,0.007671884325717249,0.00766760566424031,0.0
0.046,0.046,0.008007330655974164,0.008002654598960806,0.0
0.047,0.047,0.008349562660219072,0.008344461959259697,0.0
0.048,0.048,0.008698557379777596,0.008693003548088577,0.0
0.049,0.049,0.00905429199343189,0.009048255276597531,0.0
0.05,0.05,0.009416743816955429,0.00941019316355749,0.0
0.051000000000000004,0.051000000000000004,0.009785890302655297,0.009778793334789641,0.0
0.052000000000000005,0.052000000000000005,0.010161709038921883,0.010154032022601898,0.0
0.053000000000000005,0.053000000000000005,0.010544177749786107,0.01053588556523237,0.0
0.054,0.054,0.010933274294484064,0.01092433040629984,0.0
0.055,0.055,0.011328976667029152,0.011319343094261242,0.0
0.056,0.056,0.011731262995791669,0.01172090028187602,0.0
0.057,0.057,0.012140111543085867,0.012128978725677484,0.0
0.058,0.058,0.012555500704764485,0.012543555285451034,0.0
0.059000000000000004,0.059000000000000004,0.012977409009820768,0.012964606923719308,0.0
0.060000000000000005,0.060000000000000005,0.013405815119997945,0.013392110705234146,0.0
0.061,0.061,0.013840697829406204,0.013826043796475469,0.0
0.062,0.062,0.01428203606414719,0.014266383465156962,0.0
0.063,0.063,0.014729808881945984,0.014713107079738542,0.0
0.064,0.064,0.015183995471790545,0.015166192108945712,0.0
0.065,0.065,0.015644575153578817,0.015625616121295628,0.0
0.066,0.066,0.01611152737777319,0.016091356784629994,0.0
0.067,0.067,0.016584831725062688,0.016563391865654673,0.0
0.068,0.068,0.017064467906032575,0.017041699229486125,0.0
0.069,0.069,0.017550415760841633,0.017526256839204474,0.0
0.07,0.07,0.018042655258906973,0.01801704275541345,0.0
0.07100000000000001,0.07100000000000001,0.018541166498596533,0.018514035135806895,0.0
0.07200000000000001,0.07200000000000001,0.019045929706929084,0.019017212234742172,0.0
0.07300000000000001,0.07300000000000001,0.019556925239282055,0.01952655240282007,0.0
0.074,0.074,0.020074133579106826,0.020042034086471604,0.0
0.075,0.075,0.020597535337651907,0.020563635827551417,0.0
0.076,0.076,0.021127111253693688,0.021091336262937858,0.0
0.077,0.077,0.021662842193275012,0.021625114124139817,0.0
0.078,0.078,0.022204709149451447,0.022164948236910224,0.0
0.079,0.079,0.022752693242045437,0.022710817520866226,0.0
0.08,0.08,0.023306775717408173,0.023262700989116057,0.0
0.081,0.081,0.02386693794818936,0.0238205777478926,0.0
0.082,0.082,0.024433161433114896,0.024384426996193663,0.0
0.083,0.083,0.02500542779677241,0.024954228025428918,0.0
0.084,0.084,0.025583718789404724,0.025529960219073566,0.0
0.085,0.085,0.026168016286711376,0.02611160305232866,0.0
0.08600000000000001,0.08600000000000001,0.02675830228965807,0.02669913609178824,0.0
0.08700000000000001,0.08700000000000001,0.027354558924294246,0.027292538995113073,0.0
0.08800000000000001,0.08800000000000001,0.027956768441578683,0.027891791510711205,0.0
0.089,0.089,0.028564913217213245,0.028496873477425168,0.0
0.09,0.09,0.029178975751484856,0.02910776482422606,0.0
0.091,0.091,0.029798938669115583,0.029724445569914253,0.0
0.092,0.092,0.030424784719121058,0.030346895822826934,0.0
0.093,0.093,0.031056496774677155,0.030975095780552478,0.0
0.094,0.094,0.031694057832995066,0.03160902572965151,0.0
0.095,0.095,0.032337451015204736,0.03224866604538491,0.0
0.096,0.096,0.03298665956624675,0.032893997191448594,0.0
0.097,0.097,0.033641666854772725,0.033544999719715106,0.0
0.098,0.098,0.034302456373054284,0.034201654269982194,0.0
0.099,0.099,0.03496901173690058,0.03486394156972822,0.0
0.1,0.1,0.03564131668558457,0.035531842433874444,0.0
0.101,0.101,0.0363193550817779,0.036205337764554396,0.0
0.10200000000000001,0.10200000000000001,0.03700311091149468,0.03688440855089004,0.0
0.10300000000000001,0.10300000000000001,0.037692568284044076,0.03756903586877508,0.0
0.10400000000000001,0.10400000000000001,0.03838771143199176,0.0382592008806652,0.0
0.10500000000000001,0.10500000000000001,0.039088524711130404,0.03895488483537544,0.0
0.106,0.106,0.039794992600459156,0.03965606906788454,0.0
0.107,0.107,0.04050709970217234,0.04036273499914653,0.0
0.108,0.108,0.041224830741657115,0.04107486413590938,0.0
0.109,0.109,0.041948170567500664,0.041792438070540824,0.0
0.11,0.11,0.04267710415150652,0.04251543848086158,0.0
0.111,0.111,0.04341161658872037,0.04324384712998553,0.0
0.112,0.112,0.044151693097465285,0.04397764586616746,0.0
0.113,0.113,0.04489731901938669,0.04471681662265807,0.0
0.114,0.114,0.04564847981950667,0.045461341417566234,0.0
0.115,0.115,0.04640516108628839,0.0462112023537289,0.0
0.116,0.116,0.047167348531709986,0.046966381618588314,0.0
0.117,0.117,0.04793502799134862,0.047726861484076795,0.0
0.11800000000000001,0.11800000000000001,0.0487081854244744,0.04849262430650912,0.0
0.11900000000000001,0.11900000000000001,0.049486806914154406,0.0492636525264825,0.0
0.12000000000000001,0.12000000000000001,0.05027087866736701,0.0500399286687842,0.0
0.121,0.121,0.051060387015126316,0.0508214353423069,0.0
0.122,0.122,0.05185531841261717,0.05160815523997196,0.0
0.123,0.123,0.05265565943934054,0.0524000711386603,0.0
0.124,0.124,0.05346139679926955,0.05319716589915135,0.0
0.125,0.125,0.054272517321016164,0.05399942246606988,0.0
0.126,0.126,0.05508900795800879,0.05480682386784097,0.0
0.127,0.127,0.05591085578868073,0.05561935321665292,0.0
0.128,0.128,0.05673804801666971,0.05643699370842838,0.0
0.129,0.129,0.05757057197102854,0.0572597286228038,0.0
0.13,0.13,0.058408415106447197,0.05808754132311698,0.0
0.131,0.131,0.05925156500348607,0.058920415256403194,0.0
0.132,0.132,0.060100009368821074,0.059758333953399766,0.0
0.133,0.133,0.06095373603550009,0.060601281028558864,0.0
0.134,0.134,0.06181273296321148,0.06144924018006936,0.0
0.135,0.135,0.06267698823856442,0.06230219518988702,0.0
0.136,0.136,0.06354649007538131,0.06316012992377368,0.0
0.137,0.137,0.06442122681500247,0.06402302833134517,0.0
0.138,0.138,0.06530118692660311,0.06489087444612833,0.0
0.139,0.139,0.066186359007523,0.06576365238562681,0.0
0.14,0.14,0.0670767317836084,0.06664134635139636,0.0
0.14100000000000001,0.14100000000000001,0.06797229410956755,0.0675239406291291,0.0
0.14200000000000002,0.14200000000000002,0.06887303496933823,0.06841141958874723,0.0
0.14300000000000002,0.14300000000000002,0.06977894347646928,0.06930376768450622,0.0
0.14400000000000002,0.14400000000000002,0.07069000887451486,0.0702009694551074,0.0
0.14500000000000002,0.14500000000000002,0.07160622053744271,0.07110300952382045,0.0
0.146,0.146,0.07252756797005543,0.0720098725986154,0.0
0.147,0.147,0.07345404080842631,0.07292154347230476,0.0
0.148,0.148,0.07438562882034866,0.07383800702269544,0.0
0.149,0.149,0.07532232190579945,0.07475924821275089,0.0
0.15,0.15,0.07626411009741764,0.07568525209076352,0.0
0.151,0.151,0.07721098356099676,0.07661600379053747,0.0
0.152,0.152,0.07816293259599237,0.0775514885315819,0.0
0.153,0.153,0.07911994763604471,0.07849169161931484,0.0
0.154,0.154,0.08008201924951622,0.07943659844527781,0.0
0.155,0.155,0.08104913814004483,0.08038619448736165,0.0
0.156,0.156,0.08202129514711262,0.08134046531004288,0.0
0.157,0.157,0.0829984812466304,0.0822993965646319,0.0
0.158,0.158,0.08398068755153851,0.08326297398953189,0.0
0.159,0.159,0.08496790531242382,0.08423118341050986,0.0
0.16,0.16,0.08596012591815318,0.08520401074097891,0.0
0.161,0.161,0.08695734089652397,0.08618144198229258,0.0
0.162,0.162,0.08795954191493127,0.08716346322405104,0.0
0.163,0.163,0.08896672078105282,0.0881500606444197,0.0
0.164,0.164,0.08997886944355107,0.08914122051046,0.0
0.165,0.165,0.09099597999279341,0.09013692917847267,0.0
0.166,0.166,0.0920180446615902,0.09113717309435389,0.0
0.167,0.167,0.09304505582595153,0.0921419387939644,0.0
0.168,0.168,0.09407700600586218,0.09315121290351154,0.0
0.169,0.169,0.09511388786607586,0.09416498213994463,0.0
0.17,0.17,0.09615569421692856,0.09518323331136398,0.0
0.171,0.171,0.09720241801517153,0.09620595331744368,0.0
0.17200000000000001,0.17200000000000001,0.09825405236482397,0.09723312914986802,0.0
0.17300000000000001,0.17300000000000001,0.09931059051804578,0.09826474789278244,0.0
0.17400000000000002,0.17400000000000002,0.10037202587603136,0.09930079672325871,0.0
0.17500000000000002,0.17500000000000002,0.10143835198992343,0.10034126291177459,0.0
0.17600000000000002,0.17600000000000002,0.10250956256174856,0.10138613382270865,0.0
0.177,0.177,0.10358565144537406,0.10243539691485005,0.0
0.178,0.178,0.10466661264748668,0.10348903974192353,0.0
0.179,0.179,0.10575244032859336,0.10454704995313038,0.0
0.18,0.18,0.10684312880404503,0.10560941529370475,0.0
0.181,0.181,0.10793867254508271,0.10667612360548677,0.0
0.182,0.182,0.10903906617990763,0.10774716282751144,0.0
0.183,0.183,0.11014430449477443,0.10882252099661478,0.0
0.184,0.184,0.11125438243510917,0.10990218624805655,0.0
0.185,0.185,0.11236929510665107,0.11098614681616045,0.0
0.186,0.186,0.11348903777662014,0.112074391034972,0.0
0.187,0.187,0.11461360587490943,0.11316690733893428,0.0
0.188,0.188,0.11574299499530369,0.11426368426358163,0.0
0.189,0.189,0.11687720089672368,0.11536471044625246,0.0
0.19,0.19,0.11801621950449806,0.11646997462682036,0.0
0.191,0.191,0.1191600469116616,0.11757946564844504,0.0
0.192,0.192,0.12030867938028204,0.11869317245834231,0.0
0.193,0.193,0.12146211334281413,0.1198110841085746,0.0
0.194,0.194,0.1226203454034833,0.1209331897568612,0.0
0.195,0.195,0.12378337233969773,0.12205947866740982,0.0
0.196,0.196,0.1249511911034911,0.12318994021176875,0.0
0.197,0.197,0.1261237988229943,0.1243245638697011,0.0
0.198,0.198,0.12730119280393962,0.1254633392300803,0.0
0.199,0.199,0.12848337053119463,0.12660625599180853,0.0
0.2,0.2,0.1296703296703297,0.1277533039647577,0.0
0.201,0.201,0.13086206806921633,0.12890447307073372,0.0
0.202,0.202,0.1320585837596605,0.13005975334446412,0.0
0.203,0.203,0.1332598749590681,0.13121913493461074,0.0
0.20400000000000001,0.20400000000000001,0.13446594007214602,0.13238260810480582,0.0
0.20500000000000002,0.20500000000000002,0.1356767776926376,0.13355016323471444,0.0
0.20600000000000002,0.20600000000000002,0.13689238660509448,0.1347217908211216,0.0
0.20700000000000002,0.20700000000000002,0.13811276578668366,0.13589748147904626,0.0
0.20800000000000002,0.20800000000000002,0.1393379144090334,0.1370772259428814,0.0
0.20900000000000002,0.20900000000000002,0.1405678318401151,0.13826101506756214,0.0
0.21,0.21,0.14180251764616542,0.13944883982976047,0.0
0.211,0.211,0.1430419715936461,0.14064069132910997,0.0
0.212,0.212,0.1442861936512453,0.1418365607894578,0.0
0.213,0.213,0.14553518399191864,0.14303643956014778,0.0
0.214,0.214,0.14678894299497253,0.1442403191173324,0.0
0.215,0.215,0.14804747124818968,0.1454481910653168,0.0
0.216,0.216,0.14931076954999808,0.14666004713793354,0.0
0.217,0.217,0.15057883891168375,0.14787587919994952,0.0
0.218,0.218,0.15185168055964923,0.14909567924850664,0.0
0.219,0.219,0.1531292959377171,0.15031943941459475,0.0
0.22,0.22,0.15441168670948105,0.1515471519645601,0.0
0.221,0.221,0.1556988547607047,0.1527788093016481,0.0
0.222,0.222,0.15699080220176848,0.15401440396758243,0.0
0.223,0.223,0.15828753137016735,0.15525392864418017,0.0
0.224,0.224,0.1595890448330584,0.15649737615500522,0.0
0.225,0.225,0.16089534538986067,0.15774473946705933,0.0
0.226,0.226,0.16220643607490773,0.15899601169251246,0.0
0.227,0.227,0.16352232016015433,0.16025118609047323,0.0
0.228,0.228,0.16484300115793815,0.16151025606880062,0.0
0.229,0.229,0.16616848282379748,0.16277321518595653,0.0
0.23,0.23,0.16749876915934692,0.1640400571529026,0.0
0.231,0.231,0.16883386441521106,0.1653107758350395,0.0
0.232,0.232,0.17017377309401824,0.16658536525419212,0.0
0.233,0.233,0.1715184999534558,0.16786381959063978,0.0
0.234,0.234,0.17286805000938718,0.16914613318519395,0.0
0.23500000000000001,0.23500000000000001,0.17422242853903291,0.17043230054132366,0.0
0.23600000000000002,0.23600000000000002,0.1755816410842174,0.17172231632733032,0.0
0.23700000000000002,0.23700000000000002,0.17694569345468086,0.17301617537857275,0.0
0.23800000000000002,0.23800000000000002,0.1783145917314606,0.1743138726997438,0.0
0.23900000000000002,0.23900000000000002,0.17968834227034083,0.17561540346719942,0.0
0.24000000000000002,0.24000000000000002,0.1810669517053737,0.17692076303134238,0.0
0.241,0.241,0.18245042695247293,0.1782299469190608,0.0
0.242,0.242,0.18383877521308137,0.17954295083622326,0.0
0.243,0.243,0.18523200397791412,0.18085977067023257,0.0
0.244,0.244,0.186630121030779,0.18218040249263812,0.0
0.245,0.245,0.18803313445247669,0.18350484256181027,0.0
0.246,0.246,0.18944105262478084,0.18483308732567583,0.0
0.247,0.247,0.19085388423450134,0.18616513342451868,0.0
0.248,0.248,0.19227163827763216,0.1875009776938454,0.0
0.249,0.249,0.193694324063585,0.18884061716731768,0.0
0.25,0.25,0.1951219512195122,0.1901840490797546,0.0
0.251,0.251,0.19655452969471887,0.19153127087020502,0.0
0.252,0.252,0.19799206976516842,0.19288228018509176,0.0
0.253,0.253,0.19943458203808195,0.19423707488143144,0.0
0.254,0.254,0.20088207745663497,0.19559565303012866,0.0
0.255,0.255,0.20233456730475188,0.19695801291935022,0.0
0.256,0.256,0.203792063212003,0.19832415305797768,0.0
0.257,0.257,0.20525457715860415,0.19969407217914342,0.0
0.258,0.258,0.2067221214805226,0.20106776924385017,0.0
0.259,0.259,0.20819470887469144,0.20244524344467726,0.0
0.26,0.26,0.20967235240433435,0.2038264942095761,0.0
0.261,0.261,0.21115506550440494,0.2052115212057564,0.0
0.262,0.262,0.2126428619871415,0.20660032434366546,0.0
0.263,0.263,0.21413575604774082,0.2079929037810645,0.0
0.264,0.264,0.21563376227015446,0.20938925992720286,0.0
0.265,0.265,0.2171368956330091,0.21078939344709363,0.0
0.266,0.266,0.21864517151565505,0.21219330526589306,0.0
0.267,0.267,0.22015860570434506,0.21360099657338713,0.0
0.268,0.268,0.22167721439854782,0.21501246882858716,0.0
0.269,0.269,0.2232010142173982,0.21642772376443897,0.0
0.27,0.27,0.22473002220628832,0.21784676339264653,0.0
0.271,0.271,0.226264255843602,0.21926959000861584,0.0
0.272,0.272,0.22780373304759777,0.22069620619652,0.0
0.273,0.273,0.22934847218344187,0.22212661483449092,0.0
0.274,0.274,0.23089849207039784,0.22356081909993872,0.0
0.275,0.275,0.23245381198917248,0.22499882247500494,0.0
0.276,0.276,0.23401445168942656,0.2264406287521523,0.0
0.277,0.277,0.23558043139745183,0.22788624203989352,0.0
0.278,0.278,0.23715177182401778,0.2293356667686665,0.0
0.279,0.279,0.2387284941723956,0.23078890769685542,0.0
0.28,0.28,0.24031062014656032,0.23224596991696667,0.0
0.281,0.281,0.24189817195957763,0.23370685886196021,0.0
0.28200000000000003,0.28200000000000003,0.24349117234218015,0.23517158031174432,0.0
0.28300000000000003,0.28300000000000003,0.24508964455153698,0.23664014039983386,0.0
0.28400000000000003,0.28400000000000003,0.24669361238022183,0.23811254562018308,0.0
0.28500000000000003,0.28500000000000003,0.24830310016538584,0.2395888028341916,0.0
0.28600000000000003,0.28600000000000003,0.24991813279813893,0.24106891927789312,0.0
0.28700000000000003,0.28700000000000003,0.25153873573314556,0.24255290256933074,0.0
0.28800000000000003,0.28800000000000003,0.2531649349984416,0.24404076071612457,0.0
0.28900000000000003,0.28900000000000003,0.25479675720547657,0.24553250212323607,0.0
0.29,0.29,0.25643422955938733,0.24702813560093834,0.0
0.291,0.291,0.25807737986951174,0.24852767037299414,0.0
0.292,0.292,0.25972623656014315,0.25003111608505246,0.0
0.293,0.293,0.2613808286815404,0.2515384828132655,0.0
0.294,0.294,0.2630411859211905,0.25304978107313825,0.0
0.295,0.295,0.2647073386153404,0.254565021828612,0.0
0.296,0.296,0.2663793177607962,0.25608421650139396,0.0
0.297,0.297,0.2680571550270048,0.2576073769805373,0.0
0.298,0.298,0.26974088276841884,0.2591345156322811,0.0
0.299,0.299,0.2714305340371595,0.26066564531015723,0.0
0.3,0.3,0.27312614259597795,0.26220077936537384,0.0
0.301,0.301,0.27482774293153084,0.26373993165748305,0.0
0.302,0.302,0.27653537026797176,0.26528311656534154,0.0
0.303,0.303,0.2782490605808745,0.2668303489983752,0.0
0.304,0.304,0.2799688506114899,0.26838164440815604,0.0
0.305,0.305,0.28169477788135194,0.2699370188003005,0.0
0.306,0.306,0.28342688070723876,0.2714964887467026,0.0
0.307,0.307,0.2851651982165006,0.2730600713981092,0.0
0.308,0.308,0.28690977036276444,0.27462778449705183,0.0
0.309,0.309,0.28866063794202673,0.27619964639114347,0.0
0.31,0.31,0.2904178426091422,0.2777756760467555,0.0
0.311,0.311,0.29218142689472676,0.279355893063084,0.0
0.312,0.312,0.29395143422247727,0.28094031768662303,0.0
0.313,0.313,0.2957279089269292,0.28252897082605166,0.0
0.314,0.314,0.29751089627165805,0.2841218740675565,0.0
0.315,0.315,0.29930044246794235,0.2857190496905971,0.0
0.316,0.316,0.30109659469389666,0.2873205206841353,0.0
0.317,0.317,0.3028994011140951,0.28892631076333897,0.0
0.318,0.318,0.30470891089969215,0.2905364443867815,0.0
0.319,0.319,0.3065251742490628,0.2921509467741493,0.0
0.32,0.32,0.30834824240897063,0.29376984392447864,0.0
0.321,0.321,0.3101781676962871,0.2953931626349371,0.0
0.322,0.322,0.3120150035202694,0.29702093052017237,0.0
0.323,0.323,0.31385880440542446,0.29865317603224323,0.0
0.324,0.324,0.3157096260149657,0.3002899284811589,0.0
0.325,0.325,0.3175675251748912,0.30193121805604245,0.0
0.326,0.326,0.31943255989869135,0.30357707584694715,0.0
0.327,0.327,0.3213047894127182,0.30522753386734164,0.0
0.328,0.328,0.32318427418222145,0.3068826250772946,0.0
0.329,0.329,0.32507107593808793,0.3085423834073799,0.0
0.33,0.33,0.326965257704292,0.31020684378333074,0.0
0.331,0.331,0.32886688382609053,0.31187604215146886,0.0
0.332,0.332,0.3307760199989767,0.31355001550493805,0.0
0.333,0.333,0.3326927332984247,0.31522880191077074,0.0
0.334,0.334,0.33461709221044195,0.31691244053782086,0.0
0.335,0.335,0.3365491666629632,0.3186009716855907,0.0
0.336,0.336,0.33848902805810543,0.3202944368139925,0.0
0.337,0.337,0.3404367493053184,0.3219928785740708,0.0
0.338,0.338,0.34239240485545147,0.32369634083973187,0.0
0.339,0.339,0.34435607073577706,0.3254048687405104,0.0
0.34,0.34,0.3463278245859894,0.3271185086954182,0.0
0.341,0.341,0.34830774569522305,0.32883730844791426,0.0
0.342,0.342,0.35029591504011315,0.33056131710204195,0.0
0.343,0.343,0.3522924153239419,0.3322905851597745,0.0
0.34400000000000003,0.34400000000000003,0.3542973310168979,0.33402516455962267,0.0
0.34500000000000003,0.34500000000000003,0.35631074839749594,0.33576510871654774,0.0
0.34600000000000003,0.34600000000000003,0.35833275559518296,0.3375104725632365,0.0
0.34700000000000003,0.34700000000000003,0.36036344263418496,0.3392613125927893,0.0
0.34800000000000003,0.34800000000000003,0.3624029014786229,0.34101768690288115,0.0
0.34900000000000003,0.34900000000000003,0.3644512260789519,0.342779655241451,0.0
0.35000000000000003,0.35000000000000003,0.36650851241975996,0.3445472790539858,0.0
0.35100000000000003,0.35100000000000003,0.3685748585689809,0.3463206215324608,0.0
0.35200000000000004,0.35200000000000004,0.3706503647285619,0.34809974766600676,0.0
0.353,0.353,0.37273513328664537,0.34988472429337375,0.0
0.354,0.354,0.37482926887130863,0.35167562015726656,0.0
0.355,0.355,0.3769328784059225,0.3534725059606295,0.0
0.356,0.356,0.37904607116618283,0.355275454424967,0.0
0.357,0.357,0.38116895883887497,0.3570845403507755,0.0
0.358,0.358,0.3833016555824328,0.3588998406801903,0.0
0.359,0.359,0.3854442780893547,0.36072143456193184,0.0
0.36,0.36,0.3875969456505464,0.3625494034186543,0.0
0.361,0.361,0.3897597802216571,0.3643838310168001,0.0
0.362,0.362,0.3919329064914828,0.3662248035390724,0.0
0.363,0.363,0.3941164519525119,0.3680724096596353,0.0
0.364,0.364,0.39631054697369134,0.369926740622167,0.0
0.365,0.365,0.39851532487549496,0.3717878903208894,0.0
0.366,0.366,0.4007309220073807,0.37365595538470986,0.0
0.367,0.367,0.40295747782772307,0.3755310352646162,0.0
0.368,0.368,0.40519513498631504,0.3774132323244662,0.0
0.369,0.369,0.4074440394095385,0.37930265193533436,0.0
0.37,0.37,0.4097043403882975,0.38119940257357554,0.0
0.371,0.371,0.41197619066882757,0.38310359592277654,0.0
0.372,0.372,0.4142597465464849,0.38501534697977663,0.0
0.373,0.373,0.4165551679626329,0.38693477416495525,0.0
0.374,0.374,0.4188626186047456,0.38886199943697103,0.0
0.375,0.375,0.4211822660098522,0.39079714841218405,0.0
0.376,0.376,0.42351428167145466,0.3927403504889702,0.0
0.377,0.377,0.4258588411500535,0.3946917389771701,0.0
0.378,0.378,0.4282161241874251,0.3966514512329202,0.0
0.379,0.379,0.43058631482480125,0.39861962879912755,0.0
0.38,0.38,0.4329696015251042,0.40059641755186676,0.0
0.381,0.381,0.43536617729940197,0.40258196785299494,0.0
0.382,0.382,0.4377762398377555,0.40457643470928795,0.0
0.383,0.383,0.4401999916446353,0.40657997793843215,0.0
0.384,0.384,0.44263764017909324,0.40859276234221664,0.0
0.385,0.385,0.4450893979998888,0.41061495788728936,0.0
0.386,0.386,0.4475554829157736,0.4126467398938714,0.0
0.387,0.387,0.450036118141146,0.41468828923283585,0.0
0.388,0.388,0.45253153245730604,0.41673979253158916,0.0
0.389,0.389,0.45504196037954364,0.41880144238921685,0.0
0.39,0.39,0.4575676423303088,0.42087343760138435,0.0
0.391,0.391,0.4601088248187219,0.42295598339550994,0.0
0.392,0.392,0.46266576062669973,0.42504929167676514,0.0
0.393,0.393,0.4652387090019788,0.4271535812854855,0.0
